customer_id,churn,predicted_churn_proba,region,city,favorite_category,dominant_device,conversion_rate_delta,activity_momentum,browse_buy_gap_days,stale_cart_adds,total_spend,total_purchases,days_since_last_purchase
CUST_00001,1,0.78574246,Volta,Keta,Sports & Outdoors,Mobile,0.0,3.0,9984.0,0,0.0,0.0,9999.0
CUST_00002,1,0.59463704,Upper East,Bolgatanga,Fashion & Apparel,Tablet,-0.09523809523809523,0.2857142857142857,17.0,1,1055.96,4.0,22.0
CUST_00003,0,0.10534737,Ashanti,Mampong,Phones & Tablets,Mobile,0.5714285714285714,0.8333333333333334,61.0,0,694.23,4.0,72.0
CUST_00004,1,0.6375203,Unknown,Unknown,Fashion & Apparel,Desktop,0.0,0.6666666666666666,9982.0,4,0.0,0.0,9999.0
CUST_00008,1,0.43573627,Greater Accra,Accra,Fashion & Apparel,Mobile,0.1050420168067227,0.4,-7.0,0,370.34,6.0,2.0
CUST_00009,1,0.77454036,Volta,Keta,Phones & Tablets,Tablet,0.3333333333333333,1.5,67.0,2,58.44,1.0,71.0
CUST_00010,1,0.4988066,Greater Accra,Accra,Phones & Tablets,Desktop,0.6,0.5,26.0,2,307.71000000000004,3.0,51.0
CUST_00012,0,0.4475146,Ashanti,Mampong,Fashion & Apparel,Mobile,-0.45454545454545453,0.3157894736842105,407.0,1,2018.56,5.0,419.0
CUST_00013,1,0.5908757,Ashanti,Bekwai,Fashion & Apparel,Mobile,0.5735294117647058,0.44,37.0,1,1106.8899999999999,6.0,38.0
CUST_00014,1,0.7900166,Ashanti,Obuasi,None,None,0.0,1.0,0.0,0,0.0,0.0,9999.0
CUST_00017,1,0.68996406,Northern,Tamale,Phones & Tablets,Mobile,0.0,2.0,9968.0,0,0.0,0.0,9999.0
CUST_00018,0,0.36538747,Ashanti,Obuasi,Baby & Kids,Mobile,0.0,2.0,9991.0,3,0.0,0.0,9999.0
CUST_00019,0,0.16684298,Greater Accra,Tema,Phones & Tablets,Tablet,0.3333333333333333,1.0,-53.0,0,172.15,1.0,1.0
CUST_00020,0,0.6397675,Upper East,Bolgatanga,Baby & Kids,None,0.0,1.0,0.0,1,0.0,0.0,9999.0
CUST_00021,0,0.31582513,Ashanti,Kumasi,Fashion & Apparel,Desktop,-0.08333333333333331,0.47058823529411764,45.0,3,1710.6299999999999,6.0,49.0
CUST_00023,1,0.8201668,Volta,Kpando,None,Desktop,0.0,2.0,9976.0,0,0.0,0.0,9999.0
CUST_00024,1,0.38797924,Ashanti,Kumasi,Fashion & Apparel,Desktop,0.0,3.0,9986.0,4,0.0,0.0,9999.0
CUST_00025,0,0.05741141,Greater Accra,Accra,Electronics,Mobile,0.16666666666666669,1.5,-2.0,1,3233.77,5.0,4.0
CUST_00026,0,0.0076362453,Ashanti,Kumasi,Fashion & Apparel,Mobile,0.22417153996101363,0.5333333333333333,-7.0,1,15882.05,44.0,1.0
CUST_00028,1,0.851418,Western,Takoradi,Electronics,Mobile,0.0,2.5,9995.0,0,0.0,0.0,9999.0
CUST_00029,0,0.44750667,Unknown,Unknown,Health & Wellness,Mobile,0.0,0.75,9999.0,0,0.0,0.0,9999.0
CUST_00031,0,0.19237979,Greater Accra,Madina,Electronics,Mobile,0.4,1.0,35.0,2,681.23,2.0,47.0
CUST_00034,0,0.13464016,Greater Accra,Accra,Fashion & Apparel,Mobile,-0.06666666666666665,0.4444444444444444,45.0,4,745.98,5.0,47.0
CUST_00035,0,0.31745508,Ashanti,Ejisu,Fashion & Apparel,Mobile,-0.2727272727272727,0.23809523809523808,437.0,5,961.44,3.0,442.0
CUST_00036,1,0.8643359,Ashanti,Kumasi,Electronics,Mobile,-0.6,0.4,164.0,0,904.63,3.0,197.0
CUST_00037,1,0.6069807,Eastern,Akosombo,Beauty & Personal Care,Tablet,0.5,3.0,35.0,1,119.41,1.0,41.0
CUST_00039,0,0.34478962,Greater Accra,Accra,Fashion & Apparel,Mobile,0.0,0.4166666666666667,9983.0,6,0.0,0.0,9999.0
CUST_00040,1,0.47656557,Central,Swedru,Fashion & Apparel,Desktop,0.0,3.0,9966.0,0,0.0,0.0,9999.0
CUST_00042,0,0.50503194,Unknown,Unknown,Phones & Tablets,Mobile,0.0,0.6666666666666666,9922.0,2,0.0,0.0,9999.0
CUST_00044,1,0.88208294,Ashanti,Kumasi,Fashion & Apparel,Mobile,0.16666666666666669,0.3548387096774194,10.0,0,253.43,2.0,21.0
CUST_00045,0,0.6151086,Northern,Yendi,None,Desktop,0.0,2.0,9991.0,0,0.0,0.0,9999.0
CUST_00046,0,0.5636248,Unknown,Unknown,Fashion & Apparel,Mobile,0.3333333333333333,2.0,41.0,1,99.09,1.0,45.0
CUST_00047,0,0.43666223,Eastern,Koforidua,Electronics,Mobile,1.0,3.0,50.0,0,231.22,1.0,55.0
CUST_00048,0,0.4049689,Ashanti,Obuasi,Fashion & Apparel,Desktop,-0.25,1.6,134.0,4,56.25,1.0,135.0
CUST_00049,1,0.62544066,Ashanti,Mampong,Fashion & Apparel,Desktop,0.0,0.3333333333333333,9873.0,1,0.0,0.0,9999.0
CUST_00051,1,0.9011591,Greater Accra,Tema,Fashion & Apparel,Mobile,0.0,0.625,9997.0,1,0.0,0.0,9999.0
CUST_00052,1,0.85337776,Eastern,Suhum,Fashion & Apparel,Mobile,0.0,0.2777777777777778,9994.0,5,0.0,0.0,9999.0
CUST_00053,1,0.9150658,Ashanti,Obuasi,Fashion & Apparel,Mobile,0.20238095238095238,0.13793103448275862,-17.0,1,213.62,2.0,23.0
CUST_00054,0,0.24057496,Ashanti,Kumasi,Fashion & Apparel,Desktop,0.5714285714285714,0.38461538461538464,-13.0,0,6073.01,5.0,15.0
CUST_00055,1,0.7327259,Western,Axim,Fashion & Apparel,Mobile,0.3333333333333333,1.8,0.0,0,86.03,1.0,1.0
CUST_00056,0,0.19390747,Oti,Nkwanta,Fashion & Apparel,Mobile,0.018181818181818188,0.2857142857142857,48.0,1,478.99,5.0,48.0
CUST_00060,1,0.6914627,Oti,Jasikan,Electronics,Mobile,0.0,3.0,9988.0,0,0.0,0.0,9999.0
CUST_00061,0,0.5668498,Ashanti,Kumasi,None,Mobile,0.0,3.0,9986.0,0,0.0,0.0,9999.0
CUST_00062,1,0.5748712,Greater Accra,Accra,Sports & Outdoors,Desktop,0.0,2.0,9996.0,0,0.0,0.0,9999.0
CUST_00063,1,0.9102027,Western,Sekondi,Phones & Tablets,Mobile,-1.0,0.2222222222222222,145.0,0,61.81,1.0,214.0
CUST_00064,0,0.546566,Western,Sekondi,None,Tablet,0.0,5.0,9998.0,0,0.0,0.0,9999.0
CUST_00065,0,0.65526015,Western,Takoradi,None,Mobile,0.0,3.0,9990.0,0,0.0,0.0,9999.0
CUST_00066,0,0.3840707,Ashanti,Konongo,Home & Kitchen,Desktop,0.5,2.3333333333333335,34.0,0,276.96,1.0,40.0
CUST_00068,0,0.45727354,Oti,Dambai,Electronics,Mobile,0.0,0.6666666666666666,9999.0,2,0.0,0.0,9999.0
CUST_00070,1,0.973988,Volta,Ho,Home & Kitchen,Mobile,0.0,0.18181818181818182,9998.0,0,0.0,0.0,9999.0
CUST_00071,0,0.42203975,Volta,Kpando,Fashion & Apparel,Tablet,-0.2222222222222222,0.47368421052631576,291.0,7,174.26,2.0,292.0
CUST_00074,0,0.43989733,Ashanti,Obuasi,Fashion & Apparel,Desktop,0.0,0.10526315789473684,9952.0,5,0.0,0.0,9999.0
CUST_00075,0,0.45356724,Western,Takoradi,Phones & Tablets,Mobile,-0.25,0.5,12.0,1,224.0,2.0,15.0
CUST_00076,1,0.8396246,Bono East,Techiman,Beauty & Personal Care,Tablet,0.5,0.7142857142857143,-1.0,0,405.93,2.0,43.0
CUST_00077,0,0.2931316,Upper West,Wa,Electronics,Mobile,-0.19047619047619047,0.875,61.0,6,733.46,5.0,64.0
CUST_00079,1,0.32397014,Greater Accra,Tema,Beauty & Personal Care,Desktop,0.0,5.0,9971.0,0,0.0,0.0,9999.0
CUST_00081,0,0.3648315,Northern,Tamale,Fashion & Apparel,Mobile,0.5238095238095237,0.2962962962962963,8.0,0,555.01,5.0,9.0
CUST_00082,0,0.7068682,Bono East,Atebubu,Fashion & Apparel,Desktop,0.0,1.0,9961.0,0,0.0,0.0,9999.0
CUST_00083,0,0.63277227,Greater Accra,Accra,Fashion & Apparel,Mobile,0.0,2.0,9968.0,0,0.0,0.0,9999.0
CUST_00085,1,0.78720295,Volta,Ho,Fashion & Apparel,Mobile,0.0,2.0,9954.0,0,0.0,0.0,9999.0
CUST_00086,1,0.65489733,Volta,Hohoe,Fashion & Apparel,Mobile,0.0,4.0,9989.0,0,0.0,0.0,9999.0
CUST_00087,1,0.77387226,Ashanti,Konongo,Fashion & Apparel,Mobile,0.053571428571428575,0.7222222222222222,69.0,5,356.22,2.0,70.0
CUST_00088,0,0.15156832,Greater Accra,Accra,Phones & Tablets,Desktop,-0.11904761904761904,0.6666666666666666,34.0,2,382.03,3.0,34.0
CUST_00089,0,0.5235966,Central,Elmina,Fashion & Apparel,Mobile,0.0,0.5,9978.0,3,0.0,0.0,9999.0
CUST_00090,0,0.0056841606,Ashanti,Kumasi,Beauty & Personal Care,Desktop,0.0,2.3333333333333335,-26.0,3,6402.07,21.0,5.0
CUST_00092,1,0.6061566,Oti,Jasikan,Beauty & Personal Care,Desktop,-0.25,0.8333333333333334,132.0,5,817.64,1.0,138.0
CUST_00093,0,0.1401359,Ashanti,Kumasi,Fashion & Apparel,Mobile,-0.3333333333333333,0.3333333333333333,138.0,6,3038.45,6.0,149.0
CUST_00094,1,0.72943634,Bono,Berekum,Fashion & Apparel,Mobile,0.0,1.0,9987.0,7,0.0,0.0,9999.0
CUST_00095,0,0.4172673,Greater Accra,Accra,Fashion & Apparel,Tablet,0.21904761904761905,0.6521739130434783,16.0,1,461.44,3.0,22.0
CUST_00096,0,0.19134061,Volta,Aflao,Phones & Tablets,Mobile,0.3333333333333333,2.5,13.0,1,554.58,1.0,32.0
CUST_00097,1,0.77158016,Savannah,Damongo,Sports & Outdoors,Mobile,0.0,2.0,9994.0,4,0.0,0.0,9999.0
CUST_00098,0,0.46568167,Greater Accra,Teshie,Fashion & Apparel,Mobile,0.0,1.0,9999.0,1,0.0,0.0,9999.0
CUST_00102,0,0.43839937,Northern,Yendi,Home & Kitchen,Mobile,0.0,2.3333333333333335,9989.0,3,0.0,0.0,9999.0
CUST_00103,0,0.64912236,Ahafo,Goaso,Baby & Kids,None,0.0,1.0,0.0,1,0.0,0.0,9999.0
CUST_00104,1,0.57581663,Eastern,Suhum,Fashion & Apparel,Desktop,0.125,2.0,79.0,7,84.98,1.0,81.0
