customer_id,age,gender,region,city,signup_date,tenure_days
CUST_00001,34,Female,Volta,Keta,2026-03-01,187
CUST_00002,42,Female,Upper East,Bolgatanga,2023-05-19,1204
CUST_00003,29,Male,Ashanti,Mampong,2025-03-27,526
CUST_00004,50,Male,,,2025-09-04,365
CUST_00005,19,Male,Central,Cape Coast,2026-06-29,67
CUST_00006,45,Male,Bono,Dormaa Ahenkro,2026-06-29,67
CUST_00007,40,Male,Western North,Bibiani,2026-08-12,23
CUST_00008,18,Female,Greater Accra,Accra,2024-06-22,804
CUST_00009,61,Female,Volta,Keta,2025-09-02,367
CUST_00010,33,Female,Greater Accra,Accra,2025-04-30,492
CUST_00011,25,Female,Central,Elmina,2026-08-27,8
CUST_00012,19,Female,Ashanti,Mampong,2023-01-03,1340
CUST_00013,31,Male,Ashanti,Bekwai,2024-09-20,714
CUST_00014,32,Male,Ashanti,Obuasi,2026-06-01,95
CUST_00015,35,Female,Western,Sekondi,2026-06-16,80
CUST_00016,31,Female,Ashanti,Konongo,2026-06-15,81
CUST_00017,40,Male,Northern,Tamale,2026-04-12,145
CUST_00018,30,Other,Ashanti,Obuasi,2025-11-11,297
CUST_00019,18,Male,Greater Accra,Tema,2026-01-21,226
CUST_00020,32,Male,Upper East,Bolgatanga,2026-04-20,137
CUST_00021,18,Male,Ashanti,Kumasi,2025-08-22,378
CUST_00022,37,Male,Eastern,Suhum,2026-07-06,60
CUST_00023,24,Female,Volta,Kpando,2026-04-19,138
CUST_00024,35,Female,Ashanti,Kumasi,2026-03-06,182
CUST_00025,47,Male,Greater Accra,Accra,2026-01-04,243
CUST_00026,24,Female,Ashanti,Kumasi,2024-12-28,615
CUST_00027,44,Female,Upper West,Jirapa,2026-06-07,89
CUST_00028,29,Female,Western,Takoradi,2025-11-20,288
CUST_00029,51,Female,,,2025-09-10,359
CUST_00030,30,Male,Western,Takoradi,2026-08-16,19
CUST_00031,25,Female,Greater Accra,Madina,2025-08-26,374
CUST_00032,40,Male,Eastern,Akim Oda,2026-06-22,74
CUST_00033,29,Female,Northern,Savelugu,2026-08-09,26
CUST_00034,25,Male,Greater Accra,Accra,2023-06-03,1189
CUST_00035,29,Female,Ashanti,Ejisu,2023-01-03,1340
CUST_00036,33,Female,Ashanti,Kumasi,2024-11-13,660
CUST_00037,47,Male,Eastern,Akosombo,2026-04-12,145
CUST_00038,18,Male,Savannah,Bole,2026-07-25,41
CUST_00039,34,Female,Greater Accra,Accra,2025-05-31,461
CUST_00040,40,Female,Central,Swedru,2026-01-15,232
CUST_00041,35,Male,Greater Accra,Tema,2026-07-14,52
CUST_00042,47,Female,,,2025-12-05,273
CUST_00043,33,Male,Greater Accra,Tema,2026-08-22,13
CUST_00044,32,Male,Ashanti,Kumasi,2024-01-18,960
CUST_00045,39,Male,Northern,Yendi,2026-05-08,119
CUST_00046,34,Male,,,2025-06-27,434
CUST_00047,30,Female,Eastern,Koforidua,2026-04-08,149
CUST_00048,39,Other,Ashanti,Obuasi,2025-11-15,293
CUST_00049,27,Male,Ashanti,Mampong,2025-10-23,316
CUST_00050,27,Female,Ashanti,Bekwai,2026-06-15,81
CUST_00051,28,Male,Greater Accra,Tema,2023-01-03,1340
CUST_00052,47,Female,Eastern,Suhum,2025-01-16,596
CUST_00053,18,Male,Ashanti,Obuasi,2023-08-09,1122
CUST_00054,37,Female,Ashanti,Kumasi,2024-03-18,900
CUST_00055,34,Female,Western,Axim,2025-09-05,364
CUST_00056,18,Male,Oti,Nkwanta,2023-11-20,1019
CUST_00057,37,Female,Western,Sekondi,2026-07-29,37
CUST_00058,38,Male,Greater Accra,Tema,2026-06-09,87
CUST_00059,39,Male,Greater Accra,Ashaiman,2026-08-17,18
CUST_00060,18,Male,Oti,Jasikan,2026-03-31,157
CUST_00061,47,Male,Ashanti,Kumasi,2026-02-20,196
CUST_00062,26,Male,Greater Accra,Accra,2026-05-01,126
CUST_00063,40,Male,Western,Sekondi,2024-09-29,705
CUST_00064,41,Male,Western,Sekondi,2026-03-12,176
CUST_00065,25,Male,Western,Takoradi,2026-04-26,131
CUST_00066,40,Female,Ashanti,Konongo,2025-10-27,312
CUST_00067,30,Female,Greater Accra,Tema,2026-07-06,60
CUST_00068,18,Male,Oti,Dambai,2024-11-25,648
CUST_00069,45,Male,Ashanti,Kumasi,2026-08-05,30
CUST_00070,26,Male,Volta,Ho,2023-01-03,1340
CUST_00071,25,Female,Volta,Kpando,2025-01-21,591
CUST_00072,29,Female,Western,Takoradi,2026-06-08,88
CUST_00073,36,Male,Ashanti,Kumasi,2026-09-02,2
CUST_00074,33,Male,Ashanti,Obuasi,2024-10-29,675
CUST_00075,39,Male,Western,Takoradi,2025-05-02,490
CUST_00076,20,Male,Bono East,Techiman,2025-03-31,522
CUST_00077,26,Female,Upper West,Wa,2025-01-22,590
CUST_00078,32,Female,Greater Accra,Tema,2026-08-05,30
CUST_00079,52,Male,Greater Accra,Tema,2026-03-11,177
CUST_00080,32,Female,Upper West,Wa,2026-07-17,49
CUST_00081,44,Male,Northern,Tamale,2024-07-01,795
CUST_00082,34,Male,Bono East,Atebubu,2025-08-10,390
CUST_00083,29,Female,Greater Accra,Accra,2026-03-28,160
CUST_00084,31,Female,Central,Cape Coast,2026-08-09,26
CUST_00085,32,Male,Volta,Ho,2026-04-09,148
CUST_00086,40,Male,Volta,Hohoe,2026-03-31,157
CUST_00087,47,Female,Ashanti,Konongo,2025-03-30,523
CUST_00088,37,Female,Greater Accra,Accra,2025-07-26,405
CUST_00089,45,Male,Central,Elmina,2024-04-15,872
CUST_00090,24,Male,Ashanti,Kumasi,2025-12-23,255
CUST_00091,29,Male,Eastern,Akim Oda,2026-07-16,50
CUST_00092,26,Female,Oti,Jasikan,2025-04-23,499
CUST_00093,37,Female,Ashanti,Kumasi,2025-02-09,572
CUST_00094,30,Male,Bono,Berekum,2025-10-10,329
CUST_00095,41,Female,Greater Accra,Accra,2025-01-23,589
CUST_00096,24,Female,Volta,Aflao,2025-12-06,272
CUST_00097,34,Male,Savannah,Damongo,2025-11-13,295
CUST_00098,40,Male,Greater Accra,Teshie,2026-01-24,223
CUST_00099,18,Female,,,2026-08-25,10
CUST_00100,55,Female,,,2026-07-21,45
CUST_00101,31,Female,Greater Accra,Accra,2026-08-23,12
CUST_00102,18,Female,Northern,Yendi,2025-07-27,404
CUST_00103,35,Male,Ahafo,Goaso,2026-04-07,150
CUST_00104,34,Male,Eastern,Suhum,2025-11-24,284
CUST_00105,33,Female,Ashanti,Kumasi,2024-01-26,952
CUST_00106,43,Male,Eastern,Koforidua,2026-05-13,114
CUST_00107,41,Female,Northern,Tamale,2026-02-05,211
CUST_00108,36,Female,Greater Accra,Accra,2025-02-18,563
CUST_00109,38,Female,Central,Cape Coast,2026-05-24,103
CUST_00110,32,Male,Western,Axim,2026-08-03,32
CUST_00111,51,Female,,,2026-04-21,136
CUST_00112,19,Female,Ashanti,Kumasi,2026-06-26,70
CUST_00113,35,Female,Volta,Kpando,2023-10-09,1061
CUST_00114,34,Female,Greater Accra,Tema,2024-11-13,660
CUST_00115,42,Male,Greater Accra,Accra,2025-07-30,401
CUST_00116,25,Male,Bono East,Kintampo,2024-06-06,820
CUST_00117,18,Male,Northern,Yendi,2024-11-22,651
CUST_00118,35,Male,Greater Accra,Dansoman,2026-06-14,82
CUST_00119,36,Female,Ashanti,Kumasi,2024-03-26,892
CUST_00120,48,Female,Ashanti,Ejisu,2025-10-29,310
CUST_00121,21,Female,Ashanti,Kumasi,2024-11-15,658
CUST_00122,45,Female,Ashanti,Kumasi,2024-03-13,905
CUST_00123,57,Male,Greater Accra,Accra,2026-04-04,153
CUST_00124,30,Other,Eastern,Suhum,2026-07-20,46
CUST_00125,21,Male,Northern,Savelugu,2026-05-24,103
CUST_00126,29,Male,Western,Tarkwa,2026-01-25,222
CUST_00127,34,Female,,,2024-10-23,681
