interaction_id,customer_id,product_id,product_name,product_category,interaction_type,interaction_date
INT_0000001,CUST_00001,PROD_0253,Running Shoes,Sports & Outdoors,view,2026-04-08
INT_0000002,CUST_00001,PROD_0004,Men's Slim Fit Jeans,Fashion & Apparel,view,2026-08-08
INT_0000003,CUST_00002,PROD_0007,Kente Print Shirt,Fashion & Apparel,view,2023-12-06
INT_0000004,CUST_00002,PROD_0183,Non-stick Cooking Pot Set,Home & Kitchen,cart_add,2024-01-02
INT_0000005,CUST_00002,PROD_0284,Baby Bath Tub,Baby & Kids,view,2024-01-24
INT_0000006,CUST_00002,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,cart_add,2024-02-08
INT_0000007,CUST_00002,PROD_0233,Multivitamin Tablets,Health & Wellness,view,2024-03-03
INT_0000008,CUST_00002,PROD_0201,Storage Containers Set,Home & Kitchen,view,2024-03-24
INT_0000009,CUST_00002,PROD_0286,Hardcover Notebook,Books & Stationery,view,2024-05-11
INT_0000010,CUST_00002,PROD_0138,Microwave Oven,Electronics,view,2024-06-19
INT_0000011,CUST_00002,PROD_0067,iPhone 13,Phones & Tablets,view,2024-08-21
INT_0000012,CUST_00002,PROD_0074,Phone Screen Protector,Phones & Tablets,view,2024-08-26
INT_0000013,CUST_00002,PROD_0071,Bluetooth Headset,Phones & Tablets,view,2024-09-07
INT_0000014,CUST_00002,PROD_0035,Children's T-Shirt Set,Fashion & Apparel,view,2024-09-17
INT_0000015,CUST_00002,PROD_0175,Kitchen Knife Set,Home & Kitchen,cart_add,2024-10-04
INT_0000016,CUST_00002,PROD_0124,LED Bulb Pack,Electronics,cart_add,2024-11-01
INT_0000017,CUST_00002,PROD_0232,Bathroom Weighing Scale,Health & Wellness,view,2024-11-07
INT_0000018,CUST_00002,PROD_0170,Rice Cooker,Home & Kitchen,view,2025-01-31
INT_0000019,CUST_00002,PROD_0013,Ankara Print Dress,Fashion & Apparel,view,2025-02-15
INT_0000020,CUST_00002,PROD_0175,Kitchen Knife Set,Home & Kitchen,view,2025-02-18
INT_0000021,CUST_00002,PROD_0021,Leather Sandals,Fashion & Apparel,view,2025-03-17
INT_0000022,CUST_00002,PROD_0207,Skin Toner,Beauty & Personal Care,view,2025-03-23
INT_0000023,CUST_00002,PROD_0128,Air Conditioner (1.5HP),Electronics,view,2025-03-30
INT_0000024,CUST_00002,PROD_0008,Kente Print Shirt,Fashion & Apparel,view,2025-04-04
INT_0000025,CUST_00002,PROD_0174,Bedsheet Set (Queen),Home & Kitchen,view,2025-05-02
INT_0000026,CUST_00002,PROD_0072,Phone Screen Protector,Phones & Tablets,view,2025-05-06
INT_0000027,CUST_00002,PROD_0271,Kids' Bicycle,Baby & Kids,wishlist,2025-05-29
INT_0000028,CUST_00002,PROD_0121,Blender (4L),Electronics,view,2025-07-10
INT_0000029,CUST_00002,PROD_0011,Unisex Sneakers,Fashion & Apparel,view,2025-07-24
INT_0000030,CUST_00002,PROD_0293,A4 Printing Paper Ream,Books & Stationery,view,2025-07-25
INT_0000031,CUST_00002,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2025-08-11
INT_0000032,CUST_00002,PROD_0175,Kitchen Knife Set,Home & Kitchen,view,2025-08-17
INT_0000033,CUST_00002,PROD_0077,Bluetooth Headset,Phones & Tablets,view,2025-08-24
INT_0000034,CUST_00002,PROD_0216,Skin Toner,Beauty & Personal Care,view,2025-09-27
INT_0000035,CUST_00002,PROD_0135,LED Bulb Pack,Electronics,cart_add,2025-11-12
INT_0000036,CUST_00002,PROD_0067,iPhone 13,Phones & Tablets,view,2025-12-02
INT_0000037,CUST_00002,PROD_0105,Samsung Galaxy A14,Phones & Tablets,view,2025-12-09
INT_0000038,CUST_00002,PROD_0002,Ladies Kaftan Gown,Fashion & Apparel,cart_add,2025-12-14
INT_0000039,CUST_00002,PROD_0168,Rice Cooker,Home & Kitchen,view,2025-12-15
INT_0000040,CUST_00002,PROD_0068,Redmi Note 12,Phones & Tablets,wishlist,2025-12-18
INT_0000041,CUST_00002,PROD_0173,Non-stick Cooking Pot Set,Home & Kitchen,view,2026-01-02
INT_0000042,CUST_00002,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2026-01-07
INT_0000043,CUST_00002,PROD_0054,Men's Slim Fit Jeans,Fashion & Apparel,view,2026-01-07
INT_0000044,CUST_00002,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,wishlist,2026-01-17
INT_0000045,CUST_00002,PROD_0005,Men's Casual Blazer,Fashion & Apparel,view,2026-01-26
INT_0000046,CUST_00002,PROD_0167,Bedsheet Set (Queen),Home & Kitchen,view,2026-02-02
INT_0000047,CUST_00002,PROD_0271,Kids' Bicycle,Baby & Kids,cart_add,2026-02-17
INT_0000048,CUST_00002,PROD_0217,Sunscreen SPF50,Beauty & Personal Care,view,2026-02-18
INT_0000049,CUST_00002,PROD_0105,Samsung Galaxy A14,Phones & Tablets,view,2026-02-20
INT_0000050,CUST_00002,PROD_0212,Perfume (100ml),Beauty & Personal Care,view,2026-02-25
INT_0000051,CUST_00002,PROD_0258,Yoga Mat,Sports & Outdoors,view,2026-03-07
INT_0000052,CUST_00002,PROD_0031,Cotton Polo Shirt,Fashion & Apparel,view,2026-03-29
INT_0000053,CUST_00002,PROD_0274,Baby Carrier,Baby & Kids,cart_add,2026-04-07
INT_0000054,CUST_00002,PROD_0025,Ladies Handbag,Fashion & Apparel,view,2026-04-16
INT_0000055,CUST_00002,PROD_0172,Curtain Set,Home & Kitchen,cart_add,2026-05-12
INT_0000056,CUST_00002,PROD_0035,Children's T-Shirt Set,Fashion & Apparel,view,2026-05-19
INT_0000057,CUST_00002,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2026-05-19
INT_0000058,CUST_00002,PROD_0289,Kids' Storybook,Books & Stationery,cart_add,2026-05-20
INT_0000059,CUST_00002,PROD_0294,A4 Printing Paper Ream,Books & Stationery,wishlist,2026-06-01
INT_0000060,CUST_00002,PROD_0266,Resistance Bands,Sports & Outdoors,view,2026-06-29
INT_0000061,CUST_00002,PROD_0291,Exercise Books Pack,Books & Stationery,cart_add,2026-07-07
INT_0000062,CUST_00002,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2026-07-24
INT_0000063,CUST_00003,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,view,2025-06-27
INT_0000064,CUST_00003,PROD_0203,Braided Hair Extension,Beauty & Personal Care,cart_add,2025-07-21
INT_0000065,CUST_00003,PROD_0113,iPhone 13,Phones & Tablets,cart_add,2025-08-04
INT_0000066,CUST_00003,PROD_0005,Men's Casual Blazer,Fashion & Apparel,view,2025-08-07
INT_0000067,CUST_00003,PROD_0234,Multivitamin Tablets,Health & Wellness,view,2025-08-22
INT_0000068,CUST_00003,PROD_0074,Phone Screen Protector,Phones & Tablets,wishlist,2025-08-28
INT_0000069,CUST_00003,PROD_0067,iPhone 13,Phones & Tablets,cart_add,2025-09-29
INT_0000070,CUST_00003,PROD_0050,Leather Sandals,Fashion & Apparel,view,2025-10-04
INT_0000071,CUST_00003,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,cart_add,2025-11-17
INT_0000072,CUST_00003,PROD_0074,Phone Screen Protector,Phones & Tablets,view,2025-12-28
INT_0000073,CUST_00003,PROD_0081,Phone Charger (Type-C),Phones & Tablets,view,2025-12-29
INT_0000074,CUST_00003,PROD_0299,Garri (2kg),Groceries & Food,view,2026-01-11
INT_0000075,CUST_00003,PROD_0178,Gas Cooker (4-Burner),Home & Kitchen,cart_add,2026-01-17
INT_0000076,CUST_00003,PROD_0274,Baby Carrier,Baby & Kids,cart_add,2026-01-31
INT_0000077,CUST_00003,PROD_0070,Phone Charger (Type-C),Phones & Tablets,cart_add,2026-02-02
INT_0000078,CUST_00003,PROD_0218,Skin Toner,Beauty & Personal Care,view,2026-02-22
INT_0000079,CUST_00003,PROD_0140,Electric Iron,Electronics,cart_add,2026-03-25
INT_0000080,CUST_00003,PROD_0069,Phone Charger (Type-C),Phones & Tablets,view,2026-04-02
INT_0000081,CUST_00003,PROD_0067,iPhone 13,Phones & Tablets,view,2026-04-28
INT_0000082,CUST_00003,PROD_0271,Kids' Bicycle,Baby & Kids,view,2026-04-29
INT_0000083,CUST_00003,PROD_0042,Wax Print Skirt,Fashion & Apparel,view,2026-05-07
INT_0000084,CUST_00003,PROD_0124,LED Bulb Pack,Electronics,view,2026-05-18
INT_0000085,CUST_00003,PROD_0062,Kente Print Shirt,Fashion & Apparel,view,2026-05-21
INT_0000086,CUST_00003,PROD_0232,Bathroom Weighing Scale,Health & Wellness,view,2026-05-29
INT_0000087,CUST_00003,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,wishlist,2026-06-17
INT_0000088,CUST_00003,PROD_0255,Water Bottle (1L),Sports & Outdoors,view,2026-06-28
INT_0000089,CUST_00003,PROD_0295,Canned Tuna,Groceries & Food,view,2026-07-03
INT_0000090,CUST_00003,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,view,2026-07-24
INT_0000091,CUST_00003,PROD_0002,Ladies Kaftan Gown,Fashion & Apparel,wishlist,2026-08-02
INT_0000092,CUST_00003,PROD_0077,Bluetooth Headset,Phones & Tablets,view,2026-08-04
INT_0000093,CUST_00003,PROD_0250,Herbal Tea Pack,Health & Wellness,wishlist,2026-08-16
INT_0000094,CUST_00003,PROD_0068,Redmi Note 12,Phones & Tablets,cart_add,2026-08-16
INT_0000095,CUST_00003,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,cart_add,2026-08-24
INT_0000096,CUST_00003,PROD_0168,Rice Cooker,Home & Kitchen,cart_add,2026-08-26
INT_0000097,CUST_00004,PROD_0081,Phone Charger (Type-C),Phones & Tablets,cart_add,2025-10-07
INT_0000098,CUST_00004,PROD_0295,Canned Tuna,Groceries & Food,cart_add,2025-10-11
INT_0000099,CUST_00004,PROD_0211,Shea Butter Body Lotion,Beauty & Personal Care,view,2025-10-24
INT_0000100,CUST_00004,PROD_0234,Multivitamin Tablets,Health & Wellness,view,2025-11-02
INT_0000101,CUST_00004,PROD_0077,Bluetooth Headset,Phones & Tablets,view,2025-11-08
INT_0000102,CUST_00004,PROD_0167,Bedsheet Set (Queen),Home & Kitchen,view,2025-11-21
INT_0000103,CUST_00004,PROD_0002,Ladies Kaftan Gown,Fashion & Apparel,view,2025-12-11
INT_0000104,CUST_00004,PROD_0258,Yoga Mat,Sports & Outdoors,view,2025-12-17
INT_0000105,CUST_00004,PROD_0122,Electric Iron,Electronics,view,2026-01-02
INT_0000106,CUST_00004,PROD_0039,Men's Slim Fit Jeans,Fashion & Apparel,view,2026-01-09
INT_0000107,CUST_00004,PROD_0232,Bathroom Weighing Scale,Health & Wellness,view,2026-01-12
INT_0000108,CUST_00004,PROD_0018,Men's Formal Suit,Fashion & Apparel,view,2026-01-14
INT_0000109,CUST_00004,PROD_0240,Digital Thermometer,Health & Wellness,view,2026-01-22
INT_0000110,CUST_00004,PROD_0265,Cycling Helmet,Sports & Outdoors,cart_add,2026-02-04
INT_0000111,CUST_00004,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,wishlist,2026-02-07
INT_0000112,CUST_00004,PROD_0055,Kente Print Shirt,Fashion & Apparel,view,2026-02-26
INT_0000113,CUST_00004,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2026-02-28
INT_0000114,CUST_00004,PROD_0111,Infinix Hot 30,Phones & Tablets,view,2026-03-19
INT_0000115,CUST_00004,PROD_0120,Redmi Note 12,Phones & Tablets,view,2026-03-26
INT_0000116,CUST_00004,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2026-03-30
INT_0000117,CUST_00004,PROD_0232,Bathroom Weighing Scale,Health & Wellness,view,2026-04-08
INT_0000118,CUST_00004,PROD_0292,A4 Printing Paper Ream,Books & Stationery,view,2026-04-10
INT_0000119,CUST_00004,PROD_0209,Makeup Kit,Beauty & Personal Care,view,2026-04-12
INT_0000120,CUST_00004,PROD_0271,Kids' Bicycle,Baby & Kids,view,2026-04-13
INT_0000121,CUST_00004,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2026-04-17
INT_0000122,CUST_00004,PROD_0123,Electric Iron,Electronics,view,2026-04-22
INT_0000123,CUST_00004,PROD_0010,Traditional Smock (Fugu),Fashion & Apparel,view,2026-04-24
INT_0000124,CUST_00004,PROD_0091,iPhone 13,Phones & Tablets,cart_add,2026-04-27
INT_0000125,CUST_00004,PROD_0083,Redmi Note 12,Phones & Tablets,view,2026-05-05
INT_0000126,CUST_00004,PROD_0036,Leather Sandals,Fashion & Apparel,view,2026-05-09
INT_0000127,CUST_00004,PROD_0183,Non-stick Cooking Pot Set,Home & Kitchen,view,2026-05-18
INT_0000128,CUST_00004,PROD_0122,Electric Iron,Electronics,view,2026-05-18
INT_0000129,CUST_00004,PROD_0270,Dumbbell Set,Sports & Outdoors,view,2026-05-23
INT_0000130,CUST_00004,PROD_0004,Men's Slim Fit Jeans,Fashion & Apparel,view,2026-05-25
INT_0000131,CUST_00004,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2026-05-26
INT_0000132,CUST_00004,PROD_0253,Running Shoes,Sports & Outdoors,view,2026-05-28
INT_0000133,CUST_00004,PROD_0114,Phone Charger (Type-C),Phones & Tablets,view,2026-06-05
INT_0000134,CUST_00004,PROD_0249,First Aid Kit,Health & Wellness,view,2026-06-07
INT_0000135,CUST_00004,PROD_0297,Rice (5kg Bag),Groceries & Food,view,2026-06-07
INT_0000136,CUST_00004,PROD_0169,Bedsheet Set (Queen),Home & Kitchen,view,2026-06-09
INT_0000137,CUST_00004,PROD_0232,Bathroom Weighing Scale,Health & Wellness,view,2026-06-11
INT_0000138,CUST_00004,PROD_0206,Braided Hair Extension,Beauty & Personal Care,view,2026-06-13
INT_0000139,CUST_00004,PROD_0123,Electric Iron,Electronics,view,2026-06-18
INT_0000140,CUST_00004,PROD_0265,Cycling Helmet,Sports & Outdoors,view,2026-06-18
INT_0000141,CUST_00004,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2026-06-27
INT_0000142,CUST_00004,PROD_0244,Bathroom Weighing Scale,Health & Wellness,cart_add,2026-06-27
INT_0000143,CUST_00004,PROD_0232,Bathroom Weighing Scale,Health & Wellness,view,2026-06-27
INT_0000144,CUST_00004,PROD_0217,Sunscreen SPF50,Beauty & Personal Care,cart_add,2026-06-29
INT_0000145,CUST_00004,PROD_0018,Men's Formal Suit,Fashion & Apparel,view,2026-07-03
INT_0000146,CUST_00004,PROD_0203,Braided Hair Extension,Beauty & Personal Care,view,2026-07-08
INT_0000147,CUST_00004,PROD_0080,Infinix Hot 30,Phones & Tablets,view,2026-07-08
INT_0000148,CUST_00004,PROD_0169,Bedsheet Set (Queen),Home & Kitchen,view,2026-07-16
