session_id,customer_id,session_date,session_duration_min,pages_viewed,device_type
SESS_000001,CUST_00001,2026-05-07,6.3,2,Mobile
SESS_000002,CUST_00001,2026-05-22,12.6,7,Mobile
SESS_000003,CUST_00001,2026-06-13,11.2,10,Mobile
SESS_000004,CUST_00001,2026-08-19,2.8,3,Mobile
SESS_000005,CUST_00002,2024-07-24,13.3,9,Tablet
SESS_000006,CUST_00002,2024-09-27,7.2,9,Tablet
SESS_000007,CUST_00002,2024-11-13,14.8,12,Tablet
SESS_000008,CUST_00002,2025-01-14,10.8,11,Tablet
SESS_000009,CUST_00002,2025-04-21,8.0,9,Tablet
SESS_000010,CUST_00002,2025-04-22,26.9,7,Tablet
SESS_000011,CUST_00002,2025-05-18,13.8,10,Tablet
SESS_000012,CUST_00002,2025-06-10,31.4,22,Tablet
SESS_000013,CUST_00002,2025-11-18,4.0,4,Tablet
SESS_000014,CUST_00002,2025-11-26,13.0,11,Tablet
SESS_000015,CUST_00002,2026-01-21,22.8,12,Tablet
SESS_000016,CUST_00002,2026-01-25,4.1,5,Mobile
SESS_000017,CUST_00002,2026-02-12,37.0,11,Tablet
SESS_000018,CUST_00002,2026-04-21,32.4,12,Tablet
SESS_000019,CUST_00002,2026-05-19,12.9,10,Tablet
SESS_000020,CUST_00002,2026-06-01,9.6,11,Tablet
SESS_000021,CUST_00002,2026-07-08,20.4,14,Tablet
SESS_000022,CUST_00002,2026-07-18,8.1,3,Tablet
SESS_000023,CUST_00002,2026-07-22,21.7,9,Tablet
SESS_000024,CUST_00002,2026-09-01,7.3,12,Tablet
SESS_000025,CUST_00003,2025-09-24,6.5,7,Mobile
SESS_000026,CUST_00003,2025-12-06,41.7,24,Desktop
SESS_000027,CUST_00003,2025-12-14,8.4,11,Mobile
SESS_000028,CUST_00003,2025-12-16,18.3,9,Mobile
SESS_000029,CUST_00003,2026-03-02,1.8,4,Desktop
SESS_000030,CUST_00003,2026-05-09,51.9,31,Mobile
SESS_000031,CUST_00003,2026-05-16,8.7,7,Mobile
SESS_000032,CUST_00003,2026-05-18,27.6,21,Mobile
SESS_000033,CUST_00003,2026-05-26,31.6,19,Mobile
SESS_000034,CUST_00003,2026-06-13,22.6,14,Mobile
